"DISTRICT_ID","GEO_ID","PROVINCE_ID","SUB_DISTRICT_CODE","SUB_DISTRICT_ID","SUB_DISTRICT_NAME"
1,2,1,"100101",1,"พระบรมมหาราชวัง"
1,2,1,"100102",2,"วังบูรพาภิรมย์"
1,2,1,"100103",3,"วัดราชบพิธ"
1,2,1,"100104",4,"สำราญราษฎร์"
1,2,1,"100105",5,"ศาลเจ้าพ่อเสือ"
1,2,1,"100106",6,"เสาชิงช้า"
1,2,1,"100107",7,"บวรนิเวศ"
1,2,1,"100108",8,"ตลาดยอด"
1,2,1,"100109",9,"ชนะสงคราม"
1,2,1,"100110",10,"บ้านพานถม"
1,2,1,"100111",11,"บางขุนพรหม"
1,2,1,"100112",12,"วัดสามพระยา"
2,2,1,"100201",13,"ดุสิต"
2,2,1,"100202",14,"วชิรพยาบาล"
2,2,1,"100203",15,"สวนจิตรลดา"
2,2,1,"100204",16,"สี่แยกมหานาค"
2,2,1,"100205",17,"*บางซื่อ"
2,2,1,"100206",18,"ถนนนครไชยศรี"
2,2,1,"100299",19,"*สามเสนใน"
3,2,1,"100301",20,"กระทุ่มราย"
3,2,1,"100302",21,"หนองจอก"
3,2,1,"100303",22,"คลองสิบ"
3,2,1,"100304",23,"คลองสิบสอง"
3,2,1,"100305",24,"โคกแฝด"
3,2,1,"100306",25,"คู้ฝั่งเหนือ"
3,2,1,"100307",26,"ลำผักชี"
3,2,1,"100308",27,"ลำต้อยติ่ง"
4,2,1,"100401",28,"มหาพฤฒาราม"
4,2,1,"100402",29,"สีลม"
4,2,1,"100403",30,"สุริยวงศ์"
4,2,1,"100404",31,"บางรัก"
4,2,1,"100405",32,"สี่พระยา"
5,2,1,"100501",33,"*ลาดยาว"
5,2,1,"100502",34,"อนุสาวรีย์"
5,2,1,"100503",35,"คลองถนน*"
5,2,1,"100504",36,"*ตลาดบางเขน"
5,2,1,"100505",37,"*สีกัน"
5,2,1,"100506",38,"สายไหม*"
5,2,1,"100507",39,"*ทุ่งสองห้อง"
5,2,1,"100508",40,"ท่าแร้ง"
5,2,1,"100509",41,"ออเงิน*"
5,2,1,"100599",42,"*บางเขน"
6,2,1,"100601",43,"คลองจั่น"
6,2,1,"100602",44,"วังทองหลาง*"
6,2,1,"100603",45,"*ลาดพร้าว"
6,2,1,"100604",46,"*คลองกุ่ม"
6,2,1,"100605",47,"*สะพานสูง"
6,2,1,"100606",48,"*คันนายาว"
6,2,1,"100607",49,"*จรเข้บัว"
6,2,1,"100608",50,"หัวหมาก"
7,2,1,"100701",51,"รองเมือง"
7,2,1,"100702",52,"วังใหม่"
7,2,1,"100703",53,"ปทุมวัน"
7,2,1,"100704",54,"ลุมพินี"
8,2,1,"100801",55,"ป้อมปราบ"
8,2,1,"100802",56,"วัดเทพศิรินทร์"
8,2,1,"100803",57,"คลองมหานาค"
8,2,1,"100804",58,"บ้านบาตร"
8,2,1,"100805",59,"วัดโสมนัส"
8,2,1,"100899",60,"*นางเลิ้ง"
9,2,1,"100901",61,"*คลองเตย"
9,2,1,"100902",62,"*คลองตัน"
9,2,1,"100903",63,"*พระโขนง"
9,2,1,"100904",64,"บางนา*"
9,2,1,"100905",65,"บางจาก"
9,2,1,"100906",66,"*สวนหลวง"
9,2,1,"100907",67,"*หนองบอน"
9,2,1,"100908",68,"*ประเวศ"
9,2,1,"100909",69,"*ดอกไม้"
9,2,1,"100997",70,"*พระโขนง"
9,2,1,"100998",71,"*คลองตัน"
9,2,1,"100999",72,"*คลองเตย"
10,2,1,"101001",73,"มีนบุรี"
10,2,1,"101002",74,"แสนแสบ"
10,2,1,"101003",75,"บางชัน*"
10,2,1,"101004",76,"ทรายกองดิน*"
10,2,1,"101005",77,"ทรายกองดินใต้*"
10,2,1,"101006",78,"สามวาตะวันออก*"
10,2,1,"101007",79,"สามวาตะวันตก*"
11,2,1,"101101",80,"ลาดกระบัง"
11,2,1,"101102",81,"คลองสองต้นนุ่น"
11,2,1,"101103",82,"คลองสามประเวศ"
11,2,1,"101104",83,"ลำปลาทิว"
11,2,1,"101105",84,"ทับยาว"
11,2,1,"101106",85,"ขุมทอง"
12,2,1,"101201",86,"*ทุ่งวัดดอน"
12,2,1,"101202",87,"*ยานนาวา"
12,2,1,"101203",88,"ช่องนนทรี"
12,2,1,"101204",89,"บางโพงพาง"
12,2,1,"101205",90,"*วัดพระยาไกร"
12,2,1,"101206",91,"*บางโคล่"
12,2,1,"101207",92,"*บางคอแหลม"
12,2,1,"101208",93,"*ทุ่งมหาเมฆ"
12,2,1,"101298",94,"*บางโคล่"
12,2,1,"101299",95,"*บางคอแหลม"
13,2,1,"101301",96,"จักรวรรดิ"
13,2,1,"101302",97,"สัมพันธวงศ์"
13,2,1,"101303",98,"ตลาดน้อย"
14,2,1,"101401",99,"สามเสนใน"
14,2,1,"101402",100,"*ถนนเพชรบุรี"
14,2,1,"101403",101,"*ทุ่งพญาไท"
14,2,1,"101404",102,"*มักกะสัน"
14,2,1,"101405",103,"*ถนนพญาไท"
14,2,1,"101499",104,"*ทุ่งพญาไท"
15,2,1,"101501",105,"วัดกัลยาณ์"
15,2,1,"101502",106,"หิรัญรูจี"
15,2,1,"101503",107,"บางยี่เรือ"
15,2,1,"101504",108,"บุคคโล"
15,2,1,"101505",109,"ตลาดพลู"
15,2,1,"101506",110,"ดาวคะนอง"
15,2,1,"101507",111,"สำเหร่"
15,2,1,"101599",112,"*คลองสาน"
16,2,1,"101601",113,"วัดอรุณ"
16,2,1,"101602",114,"วัดท่าพระ"
17,2,1,"101701",115,"ห้วยขวาง"
17,2,1,"101702",116,"บางกะปิ"
17,2,1,"101703",117,"*ดินแดง"
17,2,1,"101704",118,"สามเสนนอก"
18,2,1,"101801",119,"สมเด็จเจ้าพระยา"
18,2,1,"101802",120,"คลองสาน"
