"GEO_ID","PROVINCE_CODE","PROVINCE_ID","PROVINCE_NAME"
2,"10",1,"กรุงเทพมหานคร"
2,"11",2,"สมุทรปราการ"
2,"12",3,"นนทบุรี"
2,"13",4,"ปทุมธานี"
2,"14",5,"พระนครศรีอยุธยา"
2,"15",6,"อ่างทอง"
2,"16",7,"ลพบุรี"
2,"17",8,"สิงห์บุรี"
2,"18",9,"ชัยนาท"
2,"19",10,"สระบุรี"
5,"20",11,"ชลบุรี"
5,"21",12,"ระยอง"
5,"22",13,"จันทบุรี"
5,"23",14,"ตราด"
5,"24",15,"ฉะเชิงเทรา"
5,"25",16,"ปราจีนบุรี"
2,"26",17,"นครนายก"
5,"27",18,"สระแก้ว"
3,"30",19,"นครราชสีมา"
3,"31",20,"บุรีรัมย์"
3,"32",21,"สุรินทร์"
3,"33",22,"ศรีสะเกษ"
3,"34",23,"อุบลราชธานี"
3,"35",24,"ยโสธร"
3,"36",25,"ชัยภูมิ"
3,"37",26,"อำนาจเจริญ"
3,"39",27,"หนองบัวลำภู"
3,"40",28,"ขอนแก่น"
3,"41",29,"อุดรธานี"
3,"42",30,"เลย"
3,"43",31,"หนองคาย"
3,"44",32,"มหาสารคาม"
3,"45",33,"ร้อยเอ็ด"
3,"46",34,"กาฬสินธุ์"
3,"47",35,"สกลนคร"
3,"48",36,"นครพนม"
3,"49",37,"มุกดาหาร"
1,"50",38,"เชียงใหม่"
1,"51",39,"ลำพูน"
1,"52",40,"ลำปาง"
1,"53",41,"อุตรดิตถ์"
1,"54",42,"แพร่"
1,"55",43,"น่าน"
1,"56",44,"พะเยา"
1,"57",45,"เชียงราย"
1,"58",46,"แม่ฮ่องสอน"
2,"60",47,"นครสวรรค์"
2,"61",48,"อุทัยธานี"
2,"62",49,"กำแพงเพชร"
4,"63",50,"ตาก"
2,"64",51,"สุโขทัย"
2,"65",52,"พิษณุโลก"
2,"66",53,"พิจิตร"
2,"67",54,"เพชรบูรณ์"
4,"70",55,"ราชบุรี"
4,"71",56,"กาญจนบุรี"
2,"72",57,"สุพรรณบุรี"
2,"73",58,"นครปฐม"
2,"74",59,"สมุทรสาคร"
2,"75",60,"สมุทรสงคราม"
4,"76",61,"เพชรบุรี"
4,"77",62,"ประจวบคีรีขันธ์"
6,"80",63,"นครศรีธรรมราช"
6,"81",64,"กระบี่"
6,"82",65,"พังงา"
6,"83",66,"ภูเก็ต"
6,"84",67,"สุราษฎร์ธานี"
6,"85",68,"ระนอง"
6,"86",69,"ชุมพร"
6,"90",70,"สงขลา"
6,"91",71,"สตูล"
6,"92",72,"ตรัง"
6,"93",73,"พัทลุง"
6,"94",74,"ปัตตานี"
6,"95",75,"ยะลา"
6,"96",76,"นราธิวาส"
3,"97",77,"บึงกาฬ"
